Id;Marker;X;Y;
0;1;0.00e+00;0.00e+00;
1;2;1.00E+16;0.00e+00;
2;3;1.00E+16;1.00E+16;
3;4;0.00e+00;1.00E+16;
4;0;5.00E+15;5.00E+15;
5;8;0.00e+00;5.00E+15;
6;5;5.00E+15;0.00e+00;
7;6;1.00E+16;5.00E+15;
8;7;5.00E+15;1.00E+16;
9;0;7.50E+15;2.50E+15;
10;0;2.50E+15;7.50E+15;
11;0;7.50E+15;7.50E+15;
12;0;5.00E+15;2.50E+15;
13;0;2.50E+15;3.75E+15;
14;0;3.1250E+15;5.6250E+15;
15;8;0.00e+00;2.50E+15;
16;5;7.50E+15;0.00e+00;
17;6;1.00E+16;2.50E+15;
18;0;7.50E+15;5.00E+15;
19;0;5.00E+15;7.50E+15;
20;7;2.50E+15;1.00E+16;
21;8;0.00e+00;7.50E+15;
22;6;1.00E+16;7.50E+15;
23;7;7.50E+15;1.00E+16;
24;5;2.50E+15;0.00e+00;
25;0;3.1250E+15;1.8750E+15;
26;8;0.00e+00;1.96853E+15;
27;0;2.88531E+14;2.21147E+15;
28;0;4.52229E+13;2.00660E+15;
29;0;5.10052E+14;2.39799E+15;
30;0;1.55403E+15;3.27701E+15;
31;0;2.25893E+15;3.87054E+15;
32;0;2.64992E+15;4.19975E+15;
33;0;3.99729E+15;5.33424E+15;
34;0;5.00E+15;6.17852E+15;
35;0;6.56946E+15;7.50E+15;
36;0;5.58053E+15;6.66732E+15;
37;0;2.84453E+15;2.71642E+15;
38;0;3.98245E+15;3.00877E+15;
39;0;3.25348E+15;2.82149E+15;
40;0;5.00E+15;3.27020E+15;
41;0;6.37622E+15;3.62378E+15;
42;0;7.50E+15;3.91250E+15;
43;0;9.40087E+15;4.40087E+15;
44;0;8.68246E+15;4.21630E+15;
45;0;9.22954E+15;4.35685E+15;
46;0;7.12611E+15;5.00E+15;
47;0;7.34017E+15;7.34017E+15;
48;0;7.32670E+15;7.19297E+15;
49;0;7.35479E+15;7.50E+15;
50;0;7.36695E+15;7.63305E+15;
51;0;7.50E+15;9.08760E+15;
52;7;7.58346E+15;1.00E+16;
53;0;7.51367E+15;9.23706E+15;
54;0;9.79036E+15;5.00E+15;
55;0;9.63779E+15;5.36221E+15;
56;0;9.64257E+15;5.35087E+15;
57;0;8.73731E+15;7.50E+15;
58;0;8.37060E+15;8.37060E+15;
59;7;7.68427E+15;1.00E+16;
60;0;7.92537E+15;9.42761E+15;
61;0;5.49387E+15;9.50613E+15;
62;0;6.19126E+15;7.50E+15;
63;0;5.74713E+15;8.77760E+15;
64;0;6.27690E+15;7.25366E+15;
65;0;6.52886E+15;6.52886E+15;
66;0;7.06034E+15;5.00E+15;
67;0;6.97119E+15;5.25646E+15;
68;0;7.44344E+15;3.89797E+15;
69;0;7.23220E+15;4.50562E+15;
70;0;5.00E+15;1.02299E+14;
71;0;7.14619E+15;2.500E+15;
72;0;5.47395E+15;6.31794E+14;
73;0;6.36302E+15;1.62505E+15;
74;0;7.31330E+15;2.68670E+15;
75;0;7.50000E+15;2.89527E+15;
76;0;9.38395E+15;5.00E+15;
77;0;9.29651E+15;4.90231E+15;
78;6;1.00E+16;9.66891E+15;
79;0;9.64669E+15;9.64669E+15;
80;0;9.69835E+15;9.64994E+15;
81;0;7.87991E+15;9.53555E+15;
82;0;8.80170E+15;9.59353E+15;
83;0;4.20926E+15;9.20926E+15;
84;0;5.00E+15;8.07757E+15;
85;0;4.95483E+15;8.14222E+15;
86;0;5.40356E+15;7.50E+15;
87;0;5.83542E+15;6.88194E+15;
88;0;6.26588E+15;6.26588E+15;
89;0;7.12892E+15;5.03071E+15;
90;0;7.15038E+15;5.00E+15;
91;0;7.15034E+15;5.00005E+15;
92;8;0.00e+00;2.66507E+15;
93;0;1.74204E+15;3.43532E+15;
94;0;1.48823E+14;2.73087E+15;
95;0;1.66737E+15;3.40230E+15;
96;0;5.00E+15;4.00781E+14;
97;0;5.55236E+15;8.96913E+14;
98;0;7.33713E+15;2.50E+15;
99;0;7.42293E+15;2.57707E+15;
100;0;7.50E+15;2.64629E+15;
101;0;8.93703E+15;3.93703E+15;
102;0;7.75916E+15;2.87906E+15;
